slug,positions,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
cunnida01,POWER FORWARD,10.2,0.5854999999999999,0.4575,0.0945,4.65,15.25,9.95,5.0,1.2999999999999998,1.2999999999999998,9.35,9.8,1.2,1.25,2.45,0.0925,-1.6,0.4499999999999999,-1.1,0.25,249,517,101,246,30,45,104,361,87,66,41,50,171,629
danietr01,SHOOTING GUARD,9.866666666666667,0.5495,0.7156666666666668,0.0755,1.55,8.816666666666666,5.116666666666666,5.533333333333334,1.2166666666666666,0.35,8.549999999999999,18.45,0.4666666666666666,0.3,0.7999999999999999,0.0445,-1.0333333333333334,-1.75,-2.8000000000000003,-0.0666666666666666,763,1904,546,1393,142,182,78,383,175,105,23,176,420,2214
davisde01,CENTER,14.266666666666667,0.6103333333333333,0.015,0.351,9.0,21.83333333333333,15.233333333333334,4.733333333333333,0.9,4.8,10.933333333333332,12.466666666666669,0.7666666666666666,0.4333333333333333,1.2,0.1266666666666666,-2.466666666666667,-0.2666666666666666,-2.7,-0.0333333333333333,200,334,0,1,54,85,105,241,47,21,61,43,177,454
davised01,CENTER,12.94,0.5694,0.002,0.4735999999999999,13.34,28.18,20.8,5.720000000000001,1.38,3.0,16.32,9.62,1.34,1.24,2.52,0.1436,-2.78,1.28,-1.56,0.2199999999999999,408,700,0,3,197,313,494,1059,141,94,116,155,564,1013
davisty01,CENTER,0.0,0.0,0.0,0.0,100.0,0.0,51.6,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.471,-9.6,-31.1,-40.7,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
dedmode01,CENTER,15.62,0.5913999999999999,0.217,0.277,9.67,28.45,19.03,7.62,1.51,4.3100000000000005,15.09,17.23,0.89,1.19,2.1,0.125,-2.15,0.9,-1.24,0.27,1337,2606,221,702,502,665,722,2209,392,269,397,510,1291,3397
dekkesa01,POWER FORWARD,10.433333333333334,0.3568333333333333,0.1958333333333333,0.126,4.3500000000000005,13.033333333333331,8.633333333333333,5.033333333333334,2.6833333333333336,0.5166666666666667,5.8500000000000005,10.316666666666666,0.5166666666666667,0.3833333333333333,0.9,0.0713333333333333,-2.15,-0.0833333333333333,-2.25,0.0666666666666666,571,1200,108,371,131,216,244,511,206,139,44,122,248,1381
delgaan01,CENTER,4.3,0.255,0.0,0.4,14.6,13.7,14.1,0.0,3.1,0.0,0.0,16.5,0.0,0.0,0.0,-0.055,-7.0,-5.0,-12.0,0.0,1,5,0,0,1,2,2,2,0,1,0,0,2,3
dellama01,POINT GUARD,8.8,0.470625,0.500375,0.166875,1.5499999999999998,8.2875,4.9375,29.25,1.1375,0.15,20.2375,14.4875,0.4125,0.375,0.7875,0.033125,-2.875,-1.525,-4.4,-0.35,759,1962,328,935,288,341,108,531,1480,170,16,509,667,2134
denglu01,SMALL FORWARD,10.066666666666666,0.5193333333333333,0.254,0.1486666666666666,3.3000000000000003,10.766666666666666,6.933333333333334,7.866666666666667,2.3666666666666667,0.9333333333333332,17.166666666666668,13.266666666666666,0.1999999999999999,0.3666666666666667,0.5666666666666668,0.0373333333333333,-2.1666666666666665,0.5,-1.6666666666666667,0.0666666666666666,224,544,65,209,71,98,83,285,93,64,28,58,85,584
